Year,Mean_MLO,Uncertainty_Mean_MLO,Annual_Increase_MLO,Uncertainty_Inc_MLO,Mean_GL,Uncertainty_Mean_GL,Annual_Increase_GL,Uncertainty_Inc_GL
1959,315.98,0.12,0.94,0.11,,,,
1960,316.91,0.12,0.5,0.11,,,,
1961,317.64,0.12,0.96,0.11,,,,
1962,318.45,0.12,0.64,0.11,,,,
1963,318.99,0.12,0.71,0.11,,,,
1964,319.62,0.12,0.32,0.11,,,,
1965,320.04,0.12,1.06,0.11,,,,
1966,321.37,0.12,1.28,0.11,,,,
1967,322.18,0.12,0.7,0.11,,,,
1968,323.05,0.12,1.06,0.11,,,,
1969,324.62,0.12,1.35,0.11,,,,
1970,325.68,0.12,1.0,0.11,,,,
1971,326.32,0.12,0.81,0.11,,,,
1972,327.46,0.12,1.74,0.11,,,,
1973,329.68,0.12,1.18,0.11,,,,
1974,330.19,0.12,0.95,0.11,,,,
1975,331.13,0.12,1.1,0.11,,,,
1976,332.03,0.12,0.79,0.11,,,,
1977,333.84,0.12,2.15,0.11,,,,
1978,335.41,0.12,1.3,0.11,,,,
1979,336.84,0.12,1.83,0.11,336.85,0.11,2.14,0.26
1980,338.76,0.12,1.68,0.11,338.91,0.07,1.71,0.1
1981,340.12,0.12,1.43,0.11,340.11,0.09,1.15,0.05
1982,341.48,0.12,0.86,0.11,340.86,0.03,0.99,0.08
1983,343.15,0.12,2.36,0.11,342.53,0.06,1.83,0.09
1984,344.87,0.12,1.51,0.11,344.07,0.08,1.23,0.11
1985,346.35,0.12,1.21,0.11,345.54,0.07,1.65,0.08
1986,347.61,0.12,1.47,0.11,346.97,0.07,1.02,0.1
1987,349.31,0.12,2.06,0.11,348.68,0.1,2.65,0.09
1988,351.69,0.12,2.24,0.11,351.16,0.07,2.17,0.1
1989,353.2,0.12,1.24,0.11,352.79,0.07,1.47,0.09
1990,354.45,0.12,1.2,0.11,354.06,0.07,1.22,0.07
1991,355.7,0.12,1.05,0.11,355.39,0.07,0.75,0.1
1992,356.54,0.12,0.49,0.11,356.09,0.06,0.71,0.09
1993,357.21,0.12,1.36,0.11,356.83,0.07,1.23,0.07
1994,358.96,0.12,1.96,0.11,358.33,0.08,1.66,0.11
1995,360.97,0.12,2.01,0.11,360.17,0.05,2.0,0.1
1996,362.74,0.12,1.24,0.11,361.93,0.04,1.05,0.08
1997,363.88,0.12,1.91,0.11,363.04,0.05,1.97,0.09
1998,366.84,0.12,2.97,0.11,365.7,0.04,2.84,0.13
1999,368.54,0.12,0.92,0.11,367.79,0.05,1.33,0.09
2000,369.71,0.12,1.62,0.11,368.96,0.06,1.25,0.11
2001,371.32,0.12,1.62,0.11,370.57,0.05,1.85,0.1
2002,373.45,0.12,2.51,0.11,372.58,0.04,2.36,0.07
2003,375.98,0.12,2.27,0.11,375.14,0.04,2.29,0.1
2004,377.7,0.12,1.59,0.11,376.95,0.06,1.56,0.05
2005,379.98,0.12,2.57,0.11,378.98,0.05,2.47,0.07
2006,382.09,0.12,1.69,0.11,381.15,0.05,1.77,0.07
2007,384.02,0.12,2.31,0.11,382.9,0.04,2.12,0.07
2008,385.83,0.12,1.54,0.11,385.02,0.05,1.78,0.05
2009,387.64,0.12,2.0,0.11,386.5,0.04,1.58,0.06
2010,390.1,0.12,2.3,0.11,388.76,0.06,2.41,0.06
2011,391.85,0.12,1.92,0.11,390.63,0.05,1.68,0.07
2012,394.06,0.12,2.65,0.11,392.65,0.06,2.42,0.06
2013,396.74,0.12,1.99,0.11,395.4,0.06,2.45,0.06
2014,398.81,0.12,2.17,0.11,397.34,0.05,2.04,0.07
2015,401.01,0.12,2.95,0.11,399.65,0.05,2.95,0.08
2016,404.41,0.12,3.03,0.11,403.07,0.06,2.83,0.08
2017,406.76,0.12,1.9,0.11,405.22,0.07,2.14,0.09
2018,408.72,0.12,2.85,0.11,407.61,0.07,2.39,0.09
2019,411.65,0.12,2.49,0.11,410.07,0.07,2.52,0.06
2020,414.21,0.12,2.32,0.11,412.44,0.06,2.36,0.08
2021,416.41,0.12,2.36,0.11,414.7,0.07,2.46,0.08
2022,418.53,0.12,1.81,0.11,417.07,0.07,2.16,0.08
